year,state,hs_higher_pct,bachelor_higher_pct
2019,IL,0.898,0.358
2019,IN,0.8959999999999999,0.26899999999999996
2019,IA,0.9259999999999999,0.293
2019,KS,0.9179999999999999,0.34
2019,KY,0.872,0.251
2019,LA,0.86,0.25
2019,ME,0.932,0.332
2019,MD,0.904,0.409
2019,MA,0.9129999999999999,0.45
2019,MI,0.914,0.3
2019,MN,0.9359999999999999,0.373
2019,MS,0.853,0.223
2019,MO,0.907,0.302
2019,MT,0.9420000000000001,0.336
2019,NE,0.92,0.332
2019,NV,0.8690000000000001,0.257
2019,NH,0.9329999999999999,0.376
2019,NJ,0.903,0.41200000000000003
2019,NM,0.8590000000000001,0.27699999999999997
2019,NY,0.8759999999999999,0.37799999999999995
2019,NC,0.8859999999999999,0.32299999999999995
2019,ND,0.935,0.304
2019,OH,0.9079999999999999,0.293
2019,OK,0.884,0.262
2019,OR,0.914,0.345
2019,PA,0.91,0.32299999999999995
2019,RI,0.893,0.348
2019,SC,0.883,0.29600000000000004
2019,SD,0.9209999999999999,0.297
2019,TN,0.88,0.287
2019,TX,0.846,0.308
2019,UT,0.93,0.348
2019,VT,0.9309999999999999,0.387
2019,VA,0.9,0.396
2019,WA,0.917,0.37
2019,WV,0.871,0.21100000000000002
2019,WI,0.9279999999999999,0.313
2019,WY,0.945,0.29100000000000004
2020,AL,0.88,0.278
2020,AK,0.937,0.319
2020,AZ,0.8909999999999999,0.33
2020,AR,0.882,0.249
2020,CA,0.8440000000000001,0.369
2020,CO,0.927,0.442
2020,CT,0.9159999999999999,0.424
2020,DE,0.91,0.34700000000000003
2020,DC,0.938,0.636
2020,FL,0.8959999999999999,0.337
2020,GA,0.893,0.348
2020,HI,0.9329999999999999,0.355
2020,ID,0.9129999999999999,0.309
2020,IL,0.904,0.376
2020,IN,0.902,0.289
2020,IA,0.9309999999999999,0.295
2020,KS,0.9179999999999999,0.35100000000000003
2020,KY,0.887,0.27399999999999997
2020,LA,0.8690000000000001,0.272
2020,ME,0.9359999999999999,0.335
2020,MD,0.9109999999999999,0.431
2020,MA,0.9129999999999999,0.469
2020,MI,0.92,0.321
2020,MN,0.938,0.379
2020,MS,0.868,0.245
2020,MO,0.914,0.319
2020,MT,0.9440000000000001,0.34600000000000003
2020,NE,0.919,0.33299999999999996
2020,NV,0.872,0.28
2020,NH,0.941,0.402
2020,NJ,0.909,0.431
2020,NM,0.878,0.301
2020,NY,0.878,0.395
2020,NC,0.903,0.348
2020,ND,0.935,0.318
2020,OH,0.915,0.306
2020,OK,0.892,0.27
2020,OR,0.919,0.363
2020,PA,0.9159999999999999,0.34
2020,RI,0.9009999999999999,0.38
2020,SC,0.894,0.317
2020,SD,0.922,0.284
2020,TN,0.897,0.307
2020,TX,0.858,0.332
2020,UT,0.94,0.369
