year,state,unemployment_pct,unemployment_pct_1,unemployment_pct_4
2005,CA,0.054000000000000006,-0.007999999999999993,-0.000999999999999994
2006,CA,0.049,-0.0050000000000000044,-0.019000000000000003
2007,CA,0.053,0.003999999999999997,-0.016000000000000007
2008,CA,0.073,0.019999999999999997,0.010999999999999996
2009,CA,0.115,0.04200000000000001,0.061
2010,CA,0.125,0.009999999999999995,0.076
2011,CA,0.11900000000000001,-0.0059999999999999915,0.066
2012,CA,0.105,-0.014000000000000012,0.032
2013,CA,0.09,-0.015,-0.02500000000000001
2014,CA,0.076,-0.013999999999999999,-0.049
2015,CA,0.063,-0.012999999999999998,-0.05600000000000001
2016,CA,0.055,-0.008,-0.049999999999999996
2017,CA,0.048,-0.006999999999999999,-0.041999999999999996
2018,CA,0.042,-0.005999999999999998,-0.033999999999999996
2019,CA,0.040999999999999995,-0.0010000000000000078,-0.022000000000000006
2020,CA,0.10099999999999999,0.06,0.04599999999999999
2021,CA,0.073,-0.027999999999999997,0.024999999999999994
2022,CA,0.043,-0.03,0.000999999999999994
2023,CA,0.048,0.0050000000000000044,0.007000000000000006
1976,CO,0.06,0.011999999999999997,-0.040999999999999995
1977,CO,0.063,0.0030000000000000027,-0.009999999999999995
1978,CO,0.055999999999999994,-0.007000000000000006,0.012999999999999998
1979,CO,0.046,-0.009999999999999995,-0.0020000000000000018
1980,CO,0.057999999999999996,0.011999999999999997,-0.0020000000000000018
1981,CO,0.057,-0.000999999999999994,-0.005999999999999998
1982,CO,0.076,0.018999999999999996,0.020000000000000004
1983,CO,0.071,-0.0050000000000000044,0.024999999999999994
1984,CO,0.055,-0.015999999999999993,-0.0029999999999999957
1985,CO,0.06,0.0049999999999999975,0.0029999999999999957
1986,CO,0.075,0.015,-0.0010000000000000009
1987,CO,0.075,0.0,0.0040000000000000036
1988,CO,0.064,-0.010999999999999996,0.009000000000000001
1989,CO,0.055999999999999994,-0.008000000000000007,-0.0040000000000000036
1990,CO,0.051,-0.0049999999999999975,-0.024
1991,CO,0.053,0.0020000000000000018,-0.022
1992,CO,0.061,0.008,-0.0030000000000000027
1993,CO,0.054000000000000006,-0.006999999999999992,-0.001999999999999988
1994,CO,0.042,-0.012000000000000004,-0.008999999999999994
1995,CO,0.04,-0.0020000000000000018,-0.012999999999999998
1996,CO,0.042,0.0020000000000000018,-0.018999999999999996
1997,CO,0.034,-0.008,-0.020000000000000004
1998,CO,0.036000000000000004,0.0020000000000000018,-0.005999999999999998
1999,CO,0.03,-0.006000000000000005,-0.010000000000000002
2000,CO,0.027000000000000003,-0.0029999999999999957,-0.015
2001,CO,0.038,0.010999999999999996,0.003999999999999997
2002,CO,0.057,0.019000000000000003,0.020999999999999998
2003,CO,0.061,0.003999999999999997,0.031
2004,CO,0.055999999999999994,-0.0050000000000000044,0.02899999999999999
2005,CO,0.051,-0.0049999999999999975,0.012999999999999998
2006,CO,0.042,-0.008999999999999994,-0.015
2007,CO,0.037000000000000005,-0.0049999999999999975,-0.023999999999999994
2008,CO,0.049,0.011999999999999997,-0.006999999999999992
2009,CO,0.079,0.03,0.028000000000000004
2010,CO,0.092,0.012999999999999998,0.049999999999999996
2011,CO,0.087,-0.0050000000000000044,0.04999999999999999
2012,CO,0.08,-0.006999999999999992,0.031
2013,CO,0.067,-0.012999999999999998,-0.011999999999999997
2014,CO,0.05,-0.017,-0.041999999999999996
2015,CO,0.037000000000000005,-0.012999999999999998,-0.04999999999999999
2016,CO,0.031,-0.006000000000000005,-0.049
2017,CO,0.026000000000000002,-0.0049999999999999975,-0.041
2018,CO,0.03,0.003999999999999997,-0.020000000000000004
2019,CO,0.027000000000000003,-0.0029999999999999957,-0.010000000000000002
2020,CO,0.068,0.041,0.037000000000000005
2021,CO,0.055,-0.013000000000000005,0.028999999999999998
2022,CO,0.031,-0.024,0.0010000000000000009
2023,CO,0.032,0.0010000000000000009,0.0049999999999999975
1976,CT,0.092,0.06,0.023999999999999994
1977,CT,0.07,-0.021999999999999992,0.015000000000000006
1978,CT,0.053,-0.017000000000000008,0.022
1979,CT,0.051,-0.0020000000000000018,0.018999999999999996
1980,CT,0.057,0.006000000000000005,-0.034999999999999996
1981,CT,0.062,0.0049999999999999975,-0.008000000000000007
1982,CT,0.069,0.007000000000000006,0.016000000000000007
1983,CT,0.06,-0.009000000000000008,0.009000000000000001
1984,CT,0.047,-0.012999999999999998,-0.010000000000000002
1985,CT,0.044000000000000004,-0.0029999999999999957,-0.017999999999999995
1986,CT,0.038,-0.006000000000000005,-0.031000000000000007
1987,CT,0.031,-0.006999999999999999,-0.028999999999999998
1988,CT,0.028999999999999998,-0.0020000000000000018,-0.018000000000000002
1989,CT,0.036000000000000004,0.007000000000000006,-0.008
1990,CT,0.049,0.012999999999999998,0.011000000000000003
1991,CT,0.065,0.016,0.034
1992,CT,0.073,0.007999999999999993,0.044
1993,CT,0.065,-0.007999999999999993,0.028999999999999998
1994,CT,0.055999999999999994,-0.009000000000000008,0.006999999999999992
1995,CT,0.053,-0.0029999999999999957,-0.012000000000000004
1996,CT,0.052000000000000005,-0.000999999999999994,-0.02099999999999999
1997,CT,0.047,-0.0050000000000000044,-0.018000000000000002
1998,CT,0.032,-0.015,-0.023999999999999994
1999,CT,0.025,-0.006999999999999999,-0.027999999999999997
2000,CT,0.021,-0.004,-0.031000000000000003
2001,CT,0.028999999999999998,0.007999999999999997,-0.018000000000000002
2002,CT,0.044000000000000004,0.015000000000000006,0.012000000000000004
2003,CT,0.055,0.010999999999999996,0.03
2004,CT,0.051,-0.0040000000000000036,0.029999999999999995
2005,CT,0.048,-0.0029999999999999957,0.019000000000000003
2006,CT,0.044000000000000004,-0.003999999999999997,0.0
2007,CT,0.045,0.000999999999999994,-0.010000000000000002
2008,CT,0.055999999999999994,0.010999999999999996,0.0049999999999999975
2009,CT,0.083,0.02700000000000001,0.035
2010,CT,0.096,0.012999999999999998,0.052
2011,CT,0.09,-0.006000000000000005,0.045
2012,CT,0.084,-0.0059999999999999915,0.02800000000000001
2013,CT,0.08,-0.0040000000000000036,-0.0030000000000000027
2014,CT,0.066,-0.013999999999999999,-0.03
2015,CT,0.055999999999999994,-0.010000000000000009,-0.034
2016,CT,0.048,-0.007999999999999993,-0.036000000000000004
2017,CT,0.044000000000000004,-0.003999999999999997,-0.036
2018,CT,0.039,-0.0050000000000000044,-0.027000000000000003
2019,CT,0.036000000000000004,-0.0029999999999999957,-0.01999999999999999
2020,CT,0.08,0.044,0.032
2021,CT,0.064,-0.016,0.019999999999999997
2022,CT,0.040999999999999995,-0.023000000000000007,0.001999999999999995
2023,CT,0.038,-0.0029999999999999957,0.001999999999999995
1976,DE,0.085,0.04700000000000001,0.0050000000000000044
1977,DE,0.08199999999999999,-0.0030000000000000165,0.017999999999999988
1978,DE,0.071,-0.010999999999999996,0.03
1979,DE,0.07,-0.000999999999999987,0.03200000000000001
1980,DE,0.075,0.0049999999999999906,-0.010000000000000009
1981,DE,0.078,0.0030000000000000027,-0.00399999999999999
1982,DE,0.084,0.006000000000000005,0.013000000000000012
1983,DE,0.079,-0.0050000000000000044,0.008999999999999994
1984,DE,0.062,-0.017,-0.012999999999999998
1985,DE,0.051,-0.011000000000000003,-0.027000000000000003
1986,DE,0.042,-0.008999999999999994,-0.042
1987,DE,0.03,-0.012000000000000004,-0.049
1988,DE,0.03,0.0,-0.032
1989,DE,0.033,0.0030000000000000027,-0.017999999999999995
1990,DE,0.044000000000000004,0.011000000000000003,0.0020000000000000018
1991,DE,0.059000000000000004,0.015,0.029000000000000005
1992,DE,0.052000000000000005,-0.006999999999999999,0.022000000000000006
1993,DE,0.049,-0.0030000000000000027,0.016
1994,DE,0.047,-0.0020000000000000018,0.0029999999999999957
1995,DE,0.043,-0.0040000000000000036,-0.016000000000000007
1996,DE,0.05,0.007000000000000006,-0.0020000000000000018
1997,DE,0.04,-0.010000000000000002,-0.009000000000000001
1998,DE,0.035,-0.0049999999999999975,-0.011999999999999997
1999,DE,0.033,-0.0020000000000000018,-0.009999999999999995
2000,DE,0.036000000000000004,0.0030000000000000027,-0.013999999999999999
2001,DE,0.036000000000000004,0.0,-0.003999999999999997
2002,DE,0.043,0.006999999999999992,0.007999999999999993
2003,DE,0.045,0.0020000000000000018,0.011999999999999997
2004,DE,0.043,-0.0020000000000000018,0.006999999999999992
2005,DE,0.045,0.0020000000000000018,0.008999999999999994
2006,DE,0.039,-0.005999999999999998,-0.003999999999999997
2007,DE,0.036000000000000004,-0.0029999999999999957,-0.008999999999999994
2008,DE,0.05,0.013999999999999999,0.007000000000000006
2009,DE,0.084,0.034,0.03900000000000001
2010,DE,0.087,0.002999999999999989,0.047999999999999994
2011,DE,0.076,-0.010999999999999996,0.039999999999999994
2012,DE,0.071,-0.0050000000000000044,0.02099999999999999
2013,DE,0.066,-0.0049999999999999906,-0.018000000000000002
2014,DE,0.055999999999999994,-0.010000000000000009,-0.031
2015,DE,0.048,-0.007999999999999993,-0.027999999999999997
2016,DE,0.045,-0.0030000000000000027,-0.025999999999999995
2017,DE,0.045,0.0,-0.021000000000000005
2018,DE,0.037000000000000005,-0.007999999999999993,-0.01899999999999999
2019,DE,0.036000000000000004,-0.0010000000000000009,-0.011999999999999997
2020,DE,0.075,0.03899999999999999,0.03
2021,DE,0.055,-0.019999999999999997,0.010000000000000002
2022,DE,0.043,-0.012000000000000004,0.0059999999999999915
2023,DE,0.04,-0.0029999999999999957,0.003999999999999997
1976,DC,0.087,0.04699999999999999,0.011999999999999997
1977,DC,0.086,-0.0010000000000000009,0.030999999999999993
1978,DC,0.078,-0.007999999999999993,0.035
1979,DC,0.069,-0.008999999999999994,0.029000000000000005
1980,DC,0.07400000000000001,0.0050000000000000044,-0.012999999999999984
1981,DC,0.087,0.012999999999999984,0.0010000000000000009
1982,DC,0.10300000000000001,0.016000000000000014,0.02500000000000001
1983,DC,0.109,0.0059999999999999915,0.039999999999999994
1984,DC,0.08800000000000001,-0.02099999999999999,0.013999999999999999
1985,DC,0.08,-0.008000000000000007,-0.006999999999999992
1986,DC,0.07400000000000001,-0.0059999999999999915,-0.028999999999999998
1987,DC,0.062,-0.01200000000000001,-0.047
1988,DC,0.05,-0.011999999999999997,-0.038000000000000006
1989,DC,0.048,-0.0020000000000000018,-0.032
1990,DC,0.059000000000000004,0.011000000000000003,-0.015000000000000006
1991,DC,0.077,0.017999999999999995,0.015
1992,DC,0.086,0.008999999999999994,0.03599999999999999
1993,DC,0.084,-0.001999999999999988,0.036000000000000004
1994,DC,0.079,-0.0050000000000000044,0.019999999999999997
1995,DC,0.086,0.006999999999999992,0.008999999999999994
1996,DC,0.084,-0.001999999999999988,-0.001999999999999988
1997,DC,0.081,-0.0030000000000000027,-0.0030000000000000027
1998,DC,0.083,0.0020000000000000018,0.0040000000000000036
1999,DC,0.066,-0.017,-0.01999999999999999
2000,DC,0.057,-0.009000000000000001,-0.027000000000000003
2001,DC,0.065,0.008,-0.016
2002,DC,0.07,0.0050000000000000044,-0.012999999999999998
2003,DC,0.073,0.002999999999999989,0.006999999999999992
2004,DC,0.081,0.008000000000000007,0.024
2005,DC,0.07,-0.010999999999999996,0.0050000000000000044
2006,DC,0.063,-0.007000000000000006,-0.007000000000000006
2007,DC,0.06,-0.0030000000000000027,-0.012999999999999998
2008,DC,0.068,0.008000000000000007,-0.012999999999999998
2009,DC,0.1,0.032,0.03
2010,DC,0.1,0.0,0.037000000000000005
2011,DC,0.102,0.001999999999999988,0.041999999999999996
2012,DC,0.09,-0.011999999999999997,0.021999999999999992
2013,DC,0.084,-0.0059999999999999915,-0.016
2014,DC,0.077,-0.007000000000000006,-0.023000000000000007
2015,DC,0.069,-0.007999999999999993,-0.03299999999999999
2016,DC,0.062,-0.007000000000000006,-0.027999999999999997
2017,DC,0.061,-0.0010000000000000009,-0.023000000000000007
2018,DC,0.057,-0.003999999999999997,-0.019999999999999997
2019,DC,0.055,-0.0020000000000000018,-0.014000000000000005
2020,DC,0.079,0.024,0.017
2021,DC,0.068,-0.010999999999999996,0.007000000000000006
2022,DC,0.047,-0.021000000000000005,-0.010000000000000002
2023,DC,0.049,0.0020000000000000018,-0.005999999999999998
1976,FL,0.09300000000000001,0.04400000000000001,0.014000000000000012
1977,FL,0.083,-0.010000000000000009,0.015
1978,FL,0.067,-0.016,0.020000000000000004
1979,FL,0.06,-0.007000000000000006,0.010999999999999996
1980,FL,0.06,0.0,-0.033000000000000015
1981,FL,0.068,0.008000000000000007,-0.015
1982,FL,0.085,0.017,0.018000000000000002
1983,FL,0.086,0.000999999999999987,0.025999999999999995
1984,FL,0.066,-0.01999999999999999,0.006000000000000005
1985,FL,0.061,-0.0050000000000000044,-0.007000000000000006
1986,FL,0.057999999999999996,-0.0030000000000000027,-0.02700000000000001
1987,FL,0.054000000000000006,-0.00399999999999999,-0.03199999999999999
1988,FL,0.052000000000000005,-0.0020000000000000018,-0.013999999999999999
1989,FL,0.055999999999999994,0.00399999999999999,-0.0050000000000000044
1990,FL,0.062,0.006000000000000005,0.0040000000000000036
1991,FL,0.076,0.013999999999999999,0.021999999999999992
1992,FL,0.084,0.008000000000000007,0.032
1993,FL,0.07400000000000001,-0.009999999999999995,0.018000000000000016
1994,FL,0.065,-0.009000000000000008,0.0030000000000000027
1995,FL,0.055999999999999994,-0.009000000000000008,-0.020000000000000004
1996,FL,0.053,-0.0029999999999999957,-0.031000000000000007
1997,FL,0.049,-0.003999999999999997,-0.02500000000000001
1998,FL,0.044000000000000004,-0.0049999999999999975,-0.020999999999999998
1999,FL,0.039,-0.0050000000000000044,-0.016999999999999994
2000,FL,0.038,-0.0010000000000000009,-0.015
2001,FL,0.044000000000000004,0.006000000000000005,-0.0049999999999999975
2002,FL,0.049,0.0049999999999999975,0.0049999999999999975
2003,FL,0.045,-0.0040000000000000036,0.005999999999999998
2004,FL,0.038,-0.006999999999999999,0.0
2005,FL,0.028999999999999998,-0.009000000000000001,-0.015000000000000006
2006,FL,0.025,-0.003999999999999997,-0.024
2007,FL,0.033,0.008,-0.011999999999999997
2008,FL,0.057,0.024,0.019000000000000003
2009,FL,0.096,0.039,0.067
2010,FL,0.10800000000000001,0.01200000000000001,0.08300000000000002
2011,FL,0.1,-0.008000000000000007,0.067
2012,FL,0.086,-0.014000000000000012,0.02899999999999999
2013,FL,0.075,-0.010999999999999996,-0.021000000000000005
2014,FL,0.064,-0.010999999999999996,-0.04400000000000001
2015,FL,0.055,-0.009000000000000001,-0.045000000000000005
2016,FL,0.049,-0.005999999999999998,-0.03699999999999999
