year,state,gdp_1,gdp_4
2020,NJ,-0.034252039382885346,0.015200927621630722
2021,NJ,0.05543519224180149,0.06596420492107358
2022,NJ,0.02817119501668719,0.06564444229139887
2023,NJ,0.015074266546245774,0.06379665755268893
1997,NM,,
1998,NM,-0.0040459928345774054,
1999,NM,0.05468109707744295,
2000,NM,0.018381148401730663,
2001,NM,0.0036104259642695258,0.07358382897113236
2002,NM,0.03218651878722789,0.1126404905040157
2003,NM,0.04540260319406908,0.10285210232284636
2004,NM,0.08866933784284736,0.17897043740324303
2005,NM,0.00635444484612413,0.1821939164123163
2006,NM,0.026172738218154024,0.17530615468127664
2007,NM,0.009460840499353473,0.134898205843071
2008,NM,-0.004244213427778587,0.03803920653986537
2009,NM,0.020404907603279954,0.05253204381668186
2010,NM,-0.0011912468677472976,0.024465159873298337
2011,NM,-0.0018595474035779658,0.012976509162422323
2012,NM,0.0023202061129312668,0.019654454579055347
2013,NM,-0.0072541052241896775,-0.00798421652948611
2014,NM,0.027935496759300404,0.020944434034016357
2015,NM,0.009531305501661924,0.03259552766743634
2016,NM,-0.004923858790916724,0.025132654050576075
2017,NM,0.001790560329308466,0.034472387463375664
2018,NM,0.030757396462400388,0.03731223230991643
2019,NM,0.04547602443873133,0.07424610096477258
2020,NM,-0.029212653141681866,0.04802484859232514
2021,NM,0.021129728781820623,0.06825655159687627
2022,NM,0.017501855435698488,0.05451877140210448
2023,NM,0.04094457878892577,0.049948131437525856
1997,NY,,
1998,NY,0.02430091541441204,
1999,NY,0.053784887779059876,
2000,NY,0.038294252151047425,
2001,NY,0.01948898159496304,0.14256920123351846
2002,NY,-0.009812088637629612,0.10451742640361128
2003,NY,0.0064971713704138345,0.05495312971089539
2004,NY,0.02658174095604182,0.04305269751997565
2005,NY,0.02521196272572368,0.048907955412961446
2006,NY,0.029298744926765652,0.0903381364904936
2007,NY,0.010623122296470777,0.09480777810691565
2008,NY,-0.018985980857274987,0.04621165148443018
2009,NY,0.03870873160721788,0.05998487826542642
